PE Ratio,PB Ratio,PS Ratio,ROE,ROA,Debt/Equity,Current Ratio,Profit Margin,Revenue Growth YoY,EPS Growth Next 5Y,Market Cap
12.416383,2.0932107,1.2942358,0.1763243563184374,0.0776529468498292,35.011,1.337,0.1070466060584282,0.001,-0.111,36028936192.0
36.87591,2.4939528,1.2094775,0.6837256908904811,0.2273655547991831,101.467,0.999,0.3398050021195422,-0.008,0.0785,14265787392.0
11.814926,1.0877811,3.070485,0.0996035242290749,0.0083188232231668,74.726,1.241,0.2662950131027511,0.057,0.184,299227971584.0
23.9034145,2.2311077,1.4665304,-0.0931935669155657,-0.0251726010394849,191.472,1.36,-0.0610191801429108,0.01,0.0785,15598018560.0
34.361343,2.3290918,2.8442225,0.0658580864459809,0.0297629438257165,74.422,1.13,0.0844979680840519,0.098,0.083,58704752640.0
23.9034145,3.1433842,3.01090545,0.149026649026649,0.0558971023661985,74.726,1.241,0.1265088314999519,0.048,0.0785,35235747840.0
15.42056,4.968757,0.33592805,0.4064854241729446,0.0829157479788868,144.836,1.026,0.0285602503912363,-0.048,-0.744,13950419968.0
51.816326,3.8580763,6.712041,0.0812552867535104,0.0621720668953021,19.01,3.936,0.1450356323227443,0.09,0.294,8027708416.0
10.689624,1.0423899,1.8079225,0.0976429767887054,0.0581904004734521,40.181,1.349,0.1686871505493029,0.029,0.063,17493276672.0
22.266342,2.9892046,6.7783566,0.1340983261395936,0.0459474082891461,28.816,1.241,0.3120987896310089,0.116,-0.08,142040465408.0
40.772728,12.594777,13.283577,0.3380905349413399,0.0638720033126389,68.543,1.241,0.2540137998671611,-0.082,-0.283,164354179072.0
12.841762,1.490401,2.9920292,0.1225152129817444,0.0108877480387632,74.726,1.241,0.248110417351298,0.061,0.264,56318963712.0
23.9034145,-39.868805,1.9121761,3.019161982626469,-0.0755741447784962,74.726,1.232,-0.1776538328547589,0.177,0.0785,132789166080.0
27.959059,-39.56866,6.638413,-1.4631840796019902,0.2122852605745633,74.726,1.31,0.2477779181936897,0.144,4.091,157589291008.0
73.824814,6.850447,8.521883,0.0851630684428112,0.0470618098743495,51.029,1.241,0.1107063951752552,0.209,0.364,149593128960.0
23.9034145,6.047696,2.0511897,-0.5477808386899296,-0.0966275390646091,312.772,1.253,-0.1852587991718426,0.075,-0.959,99072458752.0
87.106476,3.1770823,16.223879,0.0871036378143562,0.0355881553925563,166.032,1.004,0.1143017799666498,0.164,1.881,884671840256.0
37.32445,12.503545,4.169707,0.3219572937324171,0.0846962049888382,173.54,1.354,0.1072877604967111,0.131,1.034,27865735168.0
34.034683,5.2459016,7.1632667,0.1546728971962616,0.0563820122643652,63.073,1.097,0.2110520722635494,0.152,-0.219,33753313280.0
23.9034145,3.1433842,3.01090545,0.149026649026649,0.0558971023661985,74.726,1.241,0.1265088314999519,0.048,0.0785,35235747840.0
13.345474,3.1963098,0.83855206,0.2508799083899108,0.1018510101873876,100.846,1.767,0.065723516099395,-0.08,-0.419,13752666112.0
10.112641,1.0919362,0.20382269,0.1146978714818924,0.0456644845174505,65.02,2.146,0.0214092038864201,-0.093,0.04,10824614912.0
733.6666,1.9293479,3.4455223,0.0026364665141782,0.0005471347879124,213.956,1.057,0.0041881387520508,0.045,0.0785,11646964736.0
23.841969,6.341648,0.6138481,0.2704275308919422,0.0879004350004133,101.108,1.277,0.0262731258684083,-0.009,3.741,10880431104.0
73.18961,16.511192,16.654125,0.2258406728206954,0.1176094620280034,56.202,2.931,0.2274130495485712,0.269,0.041,77296197632.0
23.9034145,1.3812212,0.51226264,-0.0668751503488092,-0.0085302239950905,589.077,0.769,-0.024722098710538,-0.009,0.0785,5760393216.0
75.50993,2.6497176,7.975613,0.0349275046746683,0.0184467175409708,73.492,0.107,0.1057705386950219,-0.003,-0.817,12405261312.0
21.225433,2.7985673,1.082048,0.1494464944649446,0.0372169346898588,205.496,0.932,0.0588418430884184,0.093,-0.147,10949243904.0
15.5634985,1.2074568,2.5036793,0.078145564622269,0.009691029574982,74.726,1.241,0.1214461034976477,0.136,0.102,70874152960.0
25.343283,-10.990292,0.14762996,-0.265172735760971,0.0188825602269453,74.726,1.015,0.003756166593924,-0.038,0.1,32814596096.0
20.46106,1.6130061,0.35552067,0.0788976808358606,0.0176198689867781,311.168,2.31,0.0180586101015826,0.068,0.838,10028284928.0
12.064517,2.669903,0.99653417,0.2070903588413316,0.0390566076197076,309.246,0.257,0.0765756764317972,0.075,0.0785,25335883776.0
49.434425,3.762086,2.3173137,0.39798309779135,0.1498275539395235,89.232,1.253,0.2492217379702926,0.193,4.811,52107116544.0
13.910244,7.5243974,2.2629297,0.5536914473346672,0.1229661364568615,200.118,1.416,0.1665200820873644,-0.05,0.096,146658213888.0
29.49792,5.2025437,5.439039,0.1787316571642209,0.0982013326314978,37.37,1.777,0.1868115765050677,0.143,-0.065,22270146560.0
39.133755,4.3477335,1.0301794,0.11508738556652,0.0396997908378788,63.74,1.074,0.0270640534570973,0.162,0.026,36846428160.0
19.917294,8.957899,0.99734974,0.4581119564755387,0.0734276215391323,271.148,1.347,0.0513269869087133,0.033,-0.098,20943046656.0
39.998585,241.56544,0.18042186,2.336323300378674,0.0224900522963162,2689.426,0.917,0.0051337841625786,0.128,-0.161,54702616576.0
9.759113,1.1563016,0.20756665,0.125141991669822,0.0400873309479046,73.289,1.109,0.0202672455556168,0.023,6.337,30547376128.0
23.987343,2.3157768,2.8622413,0.0955372210763172,0.0232818497532443,196.803,1.083,0.1178988777045007,0.037,0.267,24738353152.0
11.468843,2.6342695,2.167773,0.2443329989969909,0.0904500222783306,42.756,3.081,0.205188679245283,-0.03,0.316,12867900416.0
578.8,1.7102757,1.4038639,0.0064142657105887,0.0029492537868548,79.277,1.411,0.0054822371122489,-0.011,0.0785,5685633536.0
24.054544,3.7096922,7.043622,0.1516435279706002,0.0123832170105638,121.987,1.241,0.3030704886259308,0.181,0.454,144147726336.0
9.589076,3.053757,0.8645104,0.3261050875729774,0.0338821490467937,493.104,0.314,0.0922755741127348,0.016,0.426,47621554176.0
14.307613,1.6151587,1.2421069,0.1159482136057458,0.0687364266865936,19.334,1.061,0.0913119008965224,0.086,0.515,242916360192.0
43.84071,19.157,5.8450456,0.4196664465445107,0.1666718453639541,132.72,1.522,0.1355957161543463,0.064,0.076,67143544832.0
13.577274,1.7194284,2.0102985,0.1448274784836225,0.0376072813407531,23.795,0.368,0.1655418675236565,0.026,-0.371,113010933760.0
42.282703,5.6504087,4.0383625,0.1342184920198128,0.0658891603156555,55.162,1.703,0.095839269047502,0.035,0.226,24662683648.0
27.69802,2.2399263,0.368285,0.0836887383325616,0.0220296251627844,77.521,0.843,0.0140516564095849,0.284,0.468,91010957312.0
9.315898,1.5192261,1.8693337,0.1644779332615716,0.0627928001972548,6.279,0.628,0.2021698862132839,-0.244,-0.658,21192636416.0
48.779068,18.437939,8.349645,0.3641002212042891,0.171406191224015,58.617,1.721,0.163765244307498,0.084,0.177,84694327296.0
24.688597,4.917016,4.133527,0.2270277405020128,0.0829495309975645,71.21,0.867,0.1918108655651172,0.094,-0.061,223937937408.0
10.767774,0.6560028,1.7725453,0.0664856250131063,0.0053898412415079,74.726,1.241,0.156396058651605,0.02,0.246,127302434816.0
11.885714,0.72018003,2.3027387,0.0681541032473691,0.0069372612299502,74.726,1.241,0.1936104695919938,-0.003,0.185,16386289664.0
37.485016,-413.12314,2.3652825,0.8536585365853658,0.0486871848374195,2555.372,0.943,0.0394755392640631,-0.153,1.056,16947249152.0
26.485916,3.5025144,15.1207285,0.1331148605537077,0.0256520695249805,12.65,1.017,0.575161906004796,0.105,0.115,94878031872.0
22.264265,2.7669342,2.9509497,0.1252810392205845,0.0279231625835189,189.643,0.792,0.1334664005322688,0.02,-0.161,22176387072.0
